Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"Accurate quantitation of circulating cell-free mitochondrial DNA in plasma by droplet digital PCR.","/pubmed/28154880","Ye W, Tang X, Liu C, Wen C, Li W, Lyu J.","Anal Bioanal Chem. 2017 Apr;409(10):2727-2735. doi: 10.1007/s00216-017-0217-x.","Anal Bioanal Chem.  2017","PubMed","citation","PMID:28154880","pubmed","28154880","create date:2017/02/06 | first author:Ye W",
"Evaluation of a fast and fully automated platform to diagnose EGFR and KRAS mutations in formalin-fixed and paraffin-embedded non-small cell lung cancer samples in less than one day.","/pubmed/28153953","Lambros L, Caumont C, Guibourg B, Barel F, Quintin-Roué I, Marcorelles P, Merlio JP, Uguen A.","J Clin Pathol. 2017 Feb 2. pii: jclinpath-2016-204202. doi: 10.1136/jclinpath-2016-204202. [Epub ahead of print]","J Clin Pathol.  2017","PubMed","citation","PMID:28153953","pubmed","28153953","create date:2017/02/06 | first author:Lambros L",
"Detection fidelity of AR mutations in plasma derived cell-free DNA.","/pubmed/28152506","Goldstein A, Valda Toro P, Lee J, Silberstein JL, Nakazawa M, Waters I, Cravero K, Chu D, Cochran RL, Kim M, Shinn D, Torquato S, Hughes RM, Pallavajjala A, Carducci MA, Paller CJ, Denmeade SR, Kressel B, Trock BJ, Eisenberger MA, Antonarakis ES, Park BH, et al.","Oncotarget. 2017 Jan 31. doi: 10.18632/oncotarget.14926. [Epub ahead of print]","Oncotarget.  2017","PubMed","citation","PMID:28152506","pubmed","28152506","create date:2017/02/06 | first author:Goldstein A",
"Comparison of methods for circulating cell-free DNA isolation using blood from cancer patients: impact on biomarker testing.","/pubmed/28149760","Pérez-Barrios C, Nieto-Alcolado I, Torrente M, Jiménez-Sánchez C, Calvo V, Gutierrez-Sanz L, Palka M, Donoso-Navarro E, Provencio M, Romero A.","Transl Lung Cancer Res. 2016 Dec;5(6):665-672. doi: 10.21037/tlcr.2016.12.03.","Transl Lung Cancer Res.  2016","PubMed","citation","PMID:28149760 | PMCID:PMC5233878","pubmed","28149760","create date:2017/02/06 | first author:Pérez-Barrios C",
"Predicting the grade of dysplasia of pancreatic cystic neoplasms using cyst fluid DNA methylation markers.","/pubmed/28148542","Hata T, Dal Molin M, Hong SM, Tamura K, Suenaga M, Yu J, Sedogawa H, Weiss MJ, Wolfgang CL, Lennon AM, Hruban RH, Goggins MG.","Clin Cancer Res. 2017 Feb 1. pii: clincanres.2244.2016. doi: 10.1158/1078-0432.CCR-16-2244. [Epub ahead of print]","Clin Cancer Res.  2017","PubMed","citation","PMID:28148542","pubmed","28148542","create date:2017/02/06 | first author:Hata T",
"Utility of serum DNA as a marker for KRAS mutations in pancreatic cancer tissue.","/pubmed/28139399","Ako S, Nouso K, Kinugasa H, Dohi C, Matushita H, Mizukawa S, Muro S, Akimoto Y, Uchida D, Tomoda T, Matsumoto K, Horiguchi S, Tsutsumi K, Kato H, Okada H.","Pancreatology. 2016 Dec 27. pii: S1424-3903(16)31258-3. doi: 10.1016/j.pan.2016.12.011. [Epub ahead of print]","Pancreatology.  2016","PubMed","citation","PMID:28139399","pubmed","28139399","create date:2017/02/01 | first author:Ako S",
"Discovery of Rare Haplotypes by Typing Millions of Single-Molecules with Bead Emulsion Haplotyping (BEH).","/pubmed/28138851","Palzenberger E, Reinhardt R, Muresan L, Palaoro B, Tiemann-Boege I.","Methods Mol Biol. 2017;1551:273-305. doi: 10.1007/978-1-4939-6750-6_14.","Methods Mol Biol.  2017","PubMed","citation","PMID:28138851","pubmed","28138851","create date:2017/02/01 | first author:Palzenberger E",
"Noninvasive prenatal diagnosis for single gene disorders.","/pubmed/28134670","Allen S, Young E, Bowns B.","Curr Opin Obstet Gynecol. 2017 Apr;29(2):73-79. doi: 10.1097/GCO.0000000000000347.","Curr Opin Obstet Gynecol.  2017","PubMed","citation","PMID:28134670","pubmed","28134670","create date:2017/01/31 | first author:Allen S",
"Digital PCR Improves Mutation Analysis in Pancreas Fine Needle Aspiration Biopsy Specimens.","/pubmed/28125707","Sho S, Court CM, Kim S, Braxton DR, Hou S, Muthusamy VR, Watson RR, Sedarat A, Tseng HR, Tomlinson JS.","PLoS One. 2017 Jan 26;12(1):e0170897. doi: 10.1371/journal.pone.0170897.","PLoS One.  2017","PubMed","citation","PMID:28125707 | PMCID:PMC5268428","pubmed","28125707","create date:2017/01/27 | first author:Sho S",
"Differences in AMY1 Gene Copy Numbers Derived from Blood, Buccal Cells and Saliva Using Quantitative and Droplet Digital PCR Methods: Flagging the Pitfall.","/pubmed/28125683","Ooi DS, Tan VM, Ong SG, Chan YH, Heng CK, Lee YS.","PLoS One. 2017 Jan 26;12(1):e0170767. doi: 10.1371/journal.pone.0170767.","PLoS One.  2017","PubMed","citation","PMID:28125683 | PMCID:PMC5268653","pubmed","28125683","create date:2017/01/27 | first author:Ooi DS",
"Inter-laboratory assessment of different digital PCR platforms for quantification of human cytomegalovirus DNA.","/pubmed/28124757","Pavšič J, Devonshire A, Blejec A, Foy CA, Van Heuverswyn F, Jones GM, Schimmel H, Žel J, Huggett JF, Redshaw N, Karczmarczyk M, Mozioğlu E, Akyürek S, Akgöz M, Milavec M.","Anal Bioanal Chem. 2017 Apr;409(10):2601-2614. doi: 10.1007/s00216-017-0206-0.","Anal Bioanal Chem.  2017","PubMed","citation","PMID:28124757","pubmed","28124757","create date:2017/01/27 | first author:Pavšič J",
"Detection of mutant KRAS and TP53 DNA in circulating exosomes from healthy individuals and patients with pancreatic cancer.","/pubmed/28121262","Yang S, Che SP, Kurywchak P, Tavormina JL, Gansmo LB, Correa de Sampaio P, Tachezy M, Bockhorn M, Gebauer F, Haltom AR, Melo SA, LeBleu VS, Kalluri R.","Cancer Biol Ther. 2017 Jan 25:1-8. doi: 10.1080/15384047.2017.1281499. [Epub ahead of print]","Cancer Biol Ther.  2017","PubMed","citation","PMID:28121262","pubmed","28121262","create date:2017/01/26 | first author:Yang S",
"A somatic GNA11 mutation is associated with extremity capillary malformation and overgrowth.","/pubmed/28120216","Couto JA, Ayturk UM, Konczyk DJ, Goss JA, Huang AY, Hann S, Reeve JL, Liang MG, Bischoff J, Warman ML, Greene AK.","Angiogenesis. 2017 Jan 24. doi: 10.1007/s10456-016-9538-1. [Epub ahead of print]","Angiogenesis.  2017","PubMed","citation","PMID:28120216","pubmed","28120216","create date:2017/01/26 | first author:Couto JA",
"Accurate Digital Polymerase Chain Reaction Quantification of Challenging Samples Applying Inhibitor-Tolerant DNA Polymerases.","/pubmed/28118703","Sidstedt M, Romsos EL, Hedell R, Ansell R, Steffen CR, Vallone PM, Rådström P, Hedman J.","Anal Chem. 2017 Feb 7;89(3):1642-1649. doi: 10.1021/acs.analchem.6b03746.","Anal Chem.  2017","PubMed","citation","PMID:28118703","pubmed","28118703","create date:2017/01/26 | first author:Sidstedt M",
"Comparative mutational landscape analysis of patient-derived tumour xenografts.","/pubmed/28118322","Brait M, Izumchenko E, Kagohara LT, Long S, Wysocki PT, Faherty B, Fertig EJ, Khor TO, Bruckheimer E, Baia G, Ciznadija D, Sloma I, Ben-Zvi I, Paz K, Sidransky D.","Br J Cancer. 2017 Feb 14;116(4):515-523. doi: 10.1038/bjc.2016.450.","Br J Cancer.  2017","PubMed","citation","PMID:28118322 | PMCID:PMC5318980","pubmed","28118322","create date:2017/01/25 | first author:Brait M",
"Effect of Source of DNA on the Quantitative Analysis of Genetically Engineered Traits Using Digital PCR and Real-Time PCR.","/pubmed/28118137","Demeke T, Malabanan J, Holigroski M, Eng M.","J AOAC Int. 2017 Mar 1;100(2):492-498. doi: 10.5740/jaoacint.16-0284.","J AOAC Int.  2017","PubMed","citation","PMID:28118137","pubmed","28118137","create date:2017/01/25 | first author:Demeke T",
"A Comparative Study of Serum Exosome Isolation Using Differential Ultracentrifugation and Three Commercial Reagents.","/pubmed/28114422","Helwa I, Cai J, Drewry MD, Zimmerman A, Dinkins MB, Khaled ML, Seremwe M, Dismuke WM, Bieberich E, Stamer WD, Hamrick MW, Liu Y.","PLoS One. 2017 Jan 23;12(1):e0170628. doi: 10.1371/journal.pone.0170628.","PLoS One.  2017","PubMed","citation","PMID:28114422 | PMCID:PMC5256994","pubmed","28114422","create date:2017/01/24 | first author:Helwa I",
"Induction Chemotherapy with Gemcitabine and Cisplatin Followed by Simultaneous Integrated Boost-Intensity Modulated Radiotherapy with Concurrent Gemcitabine for Locally Advanced Unresectable Pancreatic Cancer: Results from a Feasibility Study.","/pubmed/28111423","Woo SM, Kim MK, Joo J, Yoon KA, Park B, Park SJ, Han SS, Lee JH, Hong EK, Kim YH, Moon H, Kong SY, Kim TH, Lee WJ.","Cancer Res Treat. 2017 Jan 19. doi: 10.4143/crt.2016.495. [Epub ahead of print]","Cancer Res Treat.  2017","PubMed","citation","PMID:28111423","pubmed","28111423","create date:2017/01/24 | first author:Woo SM",
"A Circulating microRNA Signature Predicts Age-Based Development of Lymphoma.","/pubmed/28107482","Beheshti A, Vanderburg C, McDonald JT, Ramkumar C, Kadungure T, Zhang H, Gartenhaus RB, Evens AM.","PLoS One. 2017 Jan 20;12(1):e0170521. doi: 10.1371/journal.pone.0170521.","PLoS One.  2017","PubMed","citation","PMID:28107482 | PMCID:PMC5249061","pubmed","28107482","create date:2017/01/21 | first author:Beheshti A",
"Blood-based detection of RAS mutations to guide anti-EGFR therapy in colorectal cancer patients: concordance of results from circulating tumor DNA and tissue-based RAS testing.","/pubmed/28106345","Schmiegel W, Scott RJ, Dooley S, Lewis W, Meldrum CJ, Pockney P, Draganic B, Smith S, Hewitt C, Philimore H, Lucas A, Shi E, Namdarian K, Chan T, Acosta D, Ping-Chang S, Tannapfel A, Reinacher-Schick A, Uhl W, Teschendorf C, Wolters H, Stern J, et al.","Mol Oncol. 2017 Feb;11(2):208-219. doi: 10.1002/1878-0261.12023.","Mol Oncol.  2017","PubMed","citation","PMID:28106345","pubmed","28106345","create date:2017/01/21 | first author:Schmiegel W",
"Absolute Quantification of H5-Subtype Avian Influenza Viruses Using Droplet Digital Loop-Mediated Isothermal Amplification.","/pubmed/28105842","Hu Y, Xu P, Luo J, He H, Du W.","Anal Chem. 2017 Jan 3;89(1):745-750. doi: 10.1021/acs.analchem.6b03328.","Anal Chem.  2017","PubMed","citation","PMID:28105842","pubmed","28105842","create date:2017/01/21 | first author:Hu Y",
"High Prevalence of Mutant KRAS in Circulating Exosome-derived DNA from Early Stage Pancreatic Cancer Patients.","/pubmed/28104621","Allenson K, Castillo J, San Lucas FA, Scelo G, Kim DU, Bernard V, Davis G, Kumar T, Katz M, Overman MJ, Foretova L, Fabianova E, Holcatova I, Janout V, Meric-Bernstam F, Gascoyne P, Wistuba I, Varadhachary G, Brennan P, Hanash S, Li D, Maitra A, et al.","Ann Oncol. 2017 Jan 18. pii: mdx004. doi: 10.1093/annonc/mdx004. [Epub ahead of print]","Ann Oncol.  2017","PubMed","citation","PMID:28104621","pubmed","28104621","create date:2017/01/21 | first author:Allenson K",
"COLD-PCR Technologies in the Area of Personalized Medicine: Methodology and Applications.","/pubmed/28101802","Mauger F, How-Kit A, Tost J.","Mol Diagn Ther. 2017 Jan 18. doi: 10.1007/s40291-016-0254-8. [Epub ahead of print] Review.","Mol Diagn Ther.  2017","PubMed","citation","PMID:28101802","pubmed","28101802","create date:2017/01/20 | first author:Mauger F",
"Probe-Free Digital PCR Quantitative Methodology to Measure Donor-Specific Cell-Free DNA after Solid-Organ Transplantation.","/pubmed/28100495","Goh SK, Muralidharan V, Christophi C, Do H, Dobrovic A.","Clin Chem. 2017 Mar;63(3):742-750. doi: 10.1373/clinchem.2016.264838.","Clin Chem.  2017","PubMed","citation","PMID:28100495","pubmed","28100495","create date:2017/01/20 | first author:Goh SK",
"Quantification of BK Virus Standards by Quantitative Real-Time PCR and Droplet Digital PCR Is Confounded by Multiple Virus Populations in the WHO BKV International Standard.","/pubmed/28100494","Bateman AC, Greninger AL, Atienza EE, Limaye AP, Jerome KR, Cook L.","Clin Chem. 2017 Mar;63(3):761-769. doi: 10.1373/clinchem.2016.265512.","Clin Chem.  2017","PubMed","citation","PMID:28100494","pubmed","28100494","create date:2017/01/20 | first author:Bateman AC",
"Early mixed hematopoietic chimerism detection by digital droplet PCR in patients undergoing gender-mismatched hematopoietic stem cell transplantation.","/pubmed/28099121","Waterhouse M, Pfeifer D, Follo M, Duyster J, Schäfer H, Bertz H, Finke J.","Clin Chem Lab Med. 2017 Jan 18. pii: /j/cclm.ahead-of-print/cclm-2016-0900/cclm-2016-0900.xml. doi: 10.1515/cclm-2016-0900. [Epub ahead of print]","Clin Chem Lab Med.  2017","PubMed","citation","PMID:28099121","pubmed","28099121","create date:2017/01/19 | first author:Waterhouse M",
"An RNA-based signature enables high specificity detection of circulating tumor cells in hepatocellular carcinoma.","/pubmed/28096363","Kalinich M, Bhan I, Kwan TT, Miyamoto DT, Javaid S, LiCausi JA, Milner JD, Hong X, Goyal L, Sil S, Choz M, Ho U, Kapur R, Muzikansky A, Zhang H, Weitz DA, Sequist LV, Ryan DP, Chung RT, Zhu AX, Isselbacher KJ, Ting DT, et al.","Proc Natl Acad Sci U S A. 2017 Jan 31;114(5):1123-1128. doi: 10.1073/pnas.1617032114.","Proc Natl Acad Sci U S A.  2017","PubMed","citation","PMID:28096363 | PMCID:PMC5293050","pubmed","28096363","create date:2017/01/18 | first author:Kalinich M",
"Prevalence of Bovine herpesvirus type 4 in aborting dairy cows.","/pubmed/28092611","Cvetojević Đ, Savić B, Milićević V, Kureljušić B, Jezdimirović N, Jakić-Dimić D, Pavlović M, Spalević L.","Pol J Vet Sci. 2016 Dec 1;19(4):731-736. doi: 10.1515/pjvs-2016-0092.","Pol J Vet Sci.  2016","PubMed","citation","PMID:28092611","pubmed","28092611","create date:2017/01/17 | first author:Cvetojević Đ",
"THBS2 Is a Candidate Modifier of Liver Disease Severity in Alagille Syndrome.","/pubmed/28090565","Tsai EA, Gilbert MA, Grochowski CM, Underkoffler LA, Meng H, Zhang X, Wang MM, Shitaye H, Hankenson KD, Piccoli D, Lin H, Kamath BM, Devoto M, Spinner NB, Loomes KM.","Cell Mol Gastroenterol Hepatol. 2016 May 26;2(5):663-675.e2. doi: 10.1016/j.jcmgh.2016.05.013.","Cell Mol Gastroenterol Hepatol.  2016","PubMed","citation","PMID:28090565 | PMCID:PMC5042888","pubmed","28090565","create date:2017/01/17 | first author:Tsai EA",
"Cerebrospinal fluid mitochondrial DNA in the Alzheimer's disease continuum.","/pubmed/28089353","Cervera-Carles L, Alcolea D, Estanga A, Ecay-Torres M, Izagirre A, Clerigué M, García-Sebastián M, Villanúa J, Escalas C, Blesa R, Martínez-Lage P, Lleó A, Fortea J, Clarimón J.","Neurobiol Aging. 2016 Dec 22. pii: S0197-4580(16)30315-3. doi: 10.1016/j.neurobiolaging.2016.12.009. [Epub ahead of print]","Neurobiol Aging.  2016","PubMed","citation","PMID:28089353","pubmed","28089353","create date:2017/01/17 | first author:Cervera-Carles L",
"Ultrasensitive detection of oncogenic human papillomavirus in oropharyngeal tissue swabs.","/pubmed/28088212","Isaac A, Kostiuk M, Zhang H, Lindsay C, Makki F, O'Connell DA, Harris JR, Cote DW, Seikaly H, Biron VL.","J Otolaryngol Head Neck Surg. 2017 Jan 14;46(1):5. doi: 10.1186/s40463-016-0177-8.","J Otolaryngol Head Neck Surg.  2017","PubMed","citation","PMID:28088212 | PMCID:PMC5237494","pubmed","28088212","create date:2017/01/16 | first author:Isaac A",
"Quantification of Plasmid Copy Number with Single Colour Droplet Digital PCR.","/pubmed/28085908","Plotka M, Wozniak M, Kaczorowski T.","PLoS One. 2017 Jan 13;12(1):e0169846. doi: 10.1371/journal.pone.0169846.","PLoS One.  2017","PubMed","citation","PMID:28085908 | PMCID:PMC5234771","pubmed","28085908","create date:2017/01/14 | first author:Plotka M",
"ANNALS EXPRESS: Highly sensitive faecal DNA testing of TWIST1 methylation in combination with faecal immunochemical test for haemoglobin is a promising marker for detection of colorectal neoplasia.","/pubmed/28081635","Suehiro Y, Zhang Y, Hashimoto S, Takami T, Higaki S, Shindo Y, Suzuki N, Hazama S, Oka M, Nagano H, Sakaida I, Yamasaki T.","Ann Clin Biochem. 2017 Jan 1:4563217691064. doi: 10.1177/0004563217691064. [Epub ahead of print]","Ann Clin Biochem.  2017","PubMed","citation","PMID:28081635","pubmed","28081635","create date:2017/01/14 | first author:Suehiro Y",
"Corrigendum: Ultra-sensitive droplet digital PCR for detecting a low-prevalence somatic GNAQ mutation in Sturge-Weber syndrome.","/pubmed/28079102","Uchiyama Y, Nakashima M, Watanabe S, Miyajima M, Taguri M, Miyatake S, Miyake N, Saitsu H, Mishima H, Kinoshita A, Arai H, Yoshiura KI, Matsumoto N.","Sci Rep. 2017 Jan 12;7:39897. doi: 10.1038/srep39897. No abstract available. ","Sci Rep.  2017","PubMed","citation","PMID:28079102 | PMCID:PMC5227704","pubmed","28079102","create date:2017/01/13 | first author:Uchiyama Y",
"Ultrasensitive HIV-1 p24 Assay Detects Single Infected Cells and Differences in Reservoir Induction by Latency Reversal Agents.","/pubmed/28077644","Passaes CP, Bruel T, Decalf J, David A, Angin M, Monceaux V, Muller-Trutwin M, Noel N, Bourdic K, Lambotte O, Albert ML, Duffy D, Schwartz O, Sáez-Cirión A; ANRS RHIVIERA Consortium..","J Virol. 2017 Feb 28;91(6). pii: e02296-16. doi: 10.1128/JVI.02296-16.","J Virol.  2017","PubMed","citation","PMID:28077644 | PMCID:PMC5331803","pubmed","28077644","create date:2017/01/13 | first author:Passaes CP",
"Sensitive and inexpensive digital DNA analysis by microfluidic enrichment of rolling circle amplified single-molecules.","/pubmed/28077562","Kühnemund M, Hernández-Neuta I, Sharif MI, Cornaglia M, Gijs MA, Nilsson M.","Nucleic Acids Res. 2017 Jan 10. pii: gkw1324. doi: 10.1093/nar/gkw1324. [Epub ahead of print]","Nucleic Acids Res.  2017","PubMed","citation","PMID:28077562","pubmed","28077562","create date:2017/01/13 | first author:Kühnemund M",
"Paper-Based MicroRNA Expression Profiling from Plasma and Circulating Tumor Cells.","/pubmed/28073899","Leong SM, Tan KM, Chua HW, Huang MC, Cheong WC, Li MH, Tucker S, Koay ES.","Clin Chem. 2017 Mar;63(3):731-741. doi: 10.1373/clinchem.2016.264432.","Clin Chem.  2017","PubMed","citation","PMID:28073899","pubmed","28073899","create date:2017/01/12 | first author:Leong SM",
"Patient-Specific Circulating Tumor DNA Detection during Neoadjuvant Chemotherapy in Triple-Negative Breast Cancer.","/pubmed/28073896","Riva F, Bidard FC, Houy A, Saliou A, Madic J, Rampanou A, Hego C, Milder M, Cottu P, Sablin MP, Vincent-Salomon A, Lantz O, Stern MH, Proudhon C, Pierga JY.","Clin Chem. 2017 Mar;63(3):691-699. doi: 10.1373/clinchem.2016.262337.","Clin Chem.  2017","PubMed","citation","PMID:28073896","pubmed","28073896","create date:2017/01/12 | first author:Riva F",
